name,model,bn,aug,split,lr,dropout,weight_decay,optimizer,batch_size,epochs,num_params,best_val_acc,test_acc,test_loss,train_time_min
no_aug,custom,yes,no,rand,0.001,0.5,0.0001,adam,64,20,422986,1.0,0.9996666666666667,0.0018809015337222566,24.411066261927285
custom,custom,yes,yes,rand,0.001,0.5,0.0001,adam,64,20,422986,1.0,0.999,0.0026536535610600064,50.40875658194224
sgd,custom,yes,yes,rand,0.01,0.5,0.0001,sgd,64,20,422986,1.0,0.999,0.006149733993845681,24.263102598985036
custom_minusbatch,custom,yes,yes,rand,0.001,0.5,0.0001,adam,32,20,422986,1.0,0.9986666666666667,0.007569551039792713,24.553855550289153
custom_minusepoch,custom,yes,yes,rand,0.001,0.5,0.0001,adam,64,10,422986,1.0,0.9983333333333333,0.00817913405628254,12.15500321785609
no_bn,custom,no,yes,rand,0.001,0.5,0.0001,adam,64,20,422026,0.995,0.994,0.02443545908294618,30.521813229719797
custom_subj,custom,yes,yes,subj,0.001,0.5,0.0001,adam,32,20,422986,1.0,0.87275,0.3512825151550496,25.042420248190563
small,small,yes,yes,rand,0.001,0.5,0.0001,adam,32,20,5226,0.7803333333333333,0.767,0.8539294789632161,19.92839806874593
logistic,logistic,yes,yes,rand,0.001,0.5,0.0001,adam,64,20,163850,0.7236666666666667,0.735,0.9559717674255371,18.868492249647776
tune_logistic/lr1e-03,logistic,yes,yes,rand,0.001,0.5,0.0001,adam,64,10,163850,0.724,0.7233333333333334,0.9871778710683187,5.69854029417038
tune_logistic/lr1e-04,logistic,yes,yes,rand,0.0001,0.5,0.0001,adam,64,10,163850,0.691,0.6953333333333334,1.166082718849182,5.871353181203206
tune_logistic/lr1e-01,logistic,yes,yes,rand,0.1,0.5,0.0001,adam,64,10,163850,0.6563333333333333,0.6673333333333333,13.12092824045817,5.671836197376251
tune_logistic/lr1e-02,logistic,yes,yes,rand,0.01,0.5,0.0001,adam,64,10,163850,0.653,0.6666666666666666,1.6215676409403483,5.638392996788025
linear,linear,yes,yes,rand,0.001,0.5,0.0001,adam,64,20,163850,0.602,0.6136666666666667,0.0702325627207756,23.311951704819997
small_subj,small,yes,yes,subj,0.001,0.5,0.0001,adam,32,20,5226,0.933,0.553,1.379108799636364,19.237343231836956
logistic_subj,logistic,yes,yes,subj,0.001,0.5,0.0001,adam,32,20,163850,0.5925,0.50875,4.1895560644550915,18.637293684482575
mlp,mlp,yes,yes,rand,0.001,0.5,0.0001,adam,64,20,4228746,0.39366666666666666,0.3913333333333333,1.7952978016535441,18.799960764249168
linear_subj,linear,yes,yes,subj,0.001,0.5,0.0001,adam,32,20,163850,0.5045,0.3185,0.10579378196597099,18.831761300563812
mlp_subj,mlp,yes,yes,subj,0.001,0.5,0.0001,adam,32,20,4228746,0.35,0.1805,2.0722080993652345,18.947552665074667
